guy,200
creature,400
building,100000000
vehicle,10000
object,50
soldier,200
Tony Stark / Iron Man,800685550
Abu Bakaar,200
Obadiah Stane,20100
Bruce Banner / Hulk,400539600
Soldier,200
Emil Blonsky,191800
Ivan Vanko,100041000
James Rhodes / War Machine,400136000
Natasha Romanoff / Black Widow,199000
Happy Hogan,200
Laufey,11600
Odin,1400
Thor,500605400
Hogun,1600
Sif,1600
Fandral,2200
Loki,49200
Volstagg,2600
Destroyer,500070200
Heimdall,12800
Johann Schmidt / Red Skull,2000
Heinz Kruger,200001800
Peggy Carter,400
Steve Rogers / Captain America,200262450
Jacques Dernier,10200
Bucky Barnes / Winter Soldier,117400
James Montgomery Falsworth,600
Timothy 'Dum Dum' Dugan,1400
Gabe Jones,800
Colonel Chester Phillips,600
Clint Barton / Hawkeye,200237200
Nick Fury,43800
Agent Maria Hill,200
Jack Taggart,100000000
Eric Savin,200001400
Ellen Brandt,400
Aldrich Killian,400
JARVIS,100004600
Pepper Potts,400
Bor,2000
Malekith,41000
Giant Marauder,200
Kurse,1400
Ian Boothby,10600
Brock Rumlow,1200
Alexander Pierce,800
Sam Wilson / Falcon,5000
Maria Hill,200
Peter Quill / Star-Lord,48200
Gamora,1800
Ronan,200
Groot,75000
Drax,22800
Rocket,48600
Yondu Udonta,33600
Carina,100000000
infinity stone,100000000
Nebula,10200
Ultron,100150000
Pietro Maximoff / Quicksilver,120000
Wanda Maximoff / Scarlet Witch,326600
Vision,100240600
Darren Cross / Yellowjacket,4200
Luis,600
Hope van Dyne / Wasp,200
Scott Lang / Ant-Man,65800
Dr. Hank Pym,100000000
Brock Rumlow / Crossbones,50
Wanda Maximoff / Svehiclelet Witch,100010100
Zemo,100002600
Josef,400
Peter Parker / Spider-Man,100042250
Kaecilius,2300002300
The Ancient One,100001400
Mordo,800
Dr. Stephen Strange,2600013850
Ego,10000
Adrian Toomes / Vulture,100020400
Hela,71200
Valkyrie,24600
Grandmaster,200
Korg,1400
Skurge,5600
Surtur,71200
T'Chaka,200
T'Challa / Black Panther,200065800
Nakia,1200
Okoye,3800
Ulysses Klaue,100020000
Erik Killmonger,200021200
W'Kabi,600
Shuri,400
Everett K. Ross,30600
M'Baku,600
Thanos,3001068500
Cull Obsidian,100030600
Corvus Glaive,600
Hope Van Dyne / Wasp,45800
Ava / Ghost,200
