CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Bruce Wayne / Batman,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human hero,short,n
Jim Gordon,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,y
Lois,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,long,n
Lex Luthor,DC,Batman v Superman: Dawn of Justice,12-Mar-16,bad,male,human hero,long,n
Martha Kent,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,long,n
Perry White,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,y
Alfred,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Senator Finch,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,long,n
Wonder Woman / Diana Prince,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,super hero,long,n
Wallace Keefe,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Anatoli Knyazev,DC,Batman v Superman: Dawn of Justice,12-Mar-16,bad,male,human,short,y
Mercy Graves,DC,Batman v Superman: Dawn of Justice,12-Mar-16,bad,female,human hero,short,n
Martha Wayne,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,short,n
Sage,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,long,n
General Amajagh,DC,Batman v Superman: Dawn of Justice,12-Mar-16,bad,male,human,short,y
Jimmy Olsen,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,y
Cesar Santos,DC,Batman v Superman: Dawn of Justice,12-Mar-16,bad,male,human,short,y
Jenny,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,long,n
Swanwick,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Neil deGrasse Tyson,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
The Flash / Barry Allen,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,super hero,short,n
Jonathan Kent,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Adriana Santos,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,long,n
Thomas Wayne,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,y
Jack O' Dwyer,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Zod,DC,Batman v Superman: Dawn of Justice,12-Mar-16,bad,male,alien hero,NA,NA
Kahina Ziri,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,short,n
Senator Barrows,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Officer Mazzuccheli,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Officer Rucka,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Kent Shocknek,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Emmet Vale,DC,Batman v Superman: Dawn of Justice,12-Mar-16,bad,male,human,short,n
Major Carrie Farris,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Carmen,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,long,n
Vikram Gandhi,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,long,y
Andrew Sullivan,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,bald,y
Charlie Rose,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Glen Woodburn,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Soledad O'Brien,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,long,n
Dana Bash,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,short,n
Senator Purrington,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,bald,n
Nancy Grace,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,short,n
Arthur Curry / Aquaman,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,superhero,long,y
Silas,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Cyborg / Victor Stone,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human hero,short,n
Erika Erickson,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,long,n
Anderson Cooper,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Brooke Baldwin,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,long,n
Father Leone,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Pete Ross,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
Lana Lang,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,female,human,long,n
Jon Stewart,DC,Batman v Superman: Dawn of Justice,12-Mar-16,good,male,human,short,n
