CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Oathbreaker,8 May 2016
Jaime Lannister,GoT,Oathbreaker,8 May 2016
Cersei Lannister,GoT,Oathbreaker,8 May 2016
Daenerys Targaryen,GoT,Oathbreaker,8 May 2016
Jon Snow,GoT,Oathbreaker,8 May 2016
Davos Seaworth,GoT,Oathbreaker,8 May 2016
Melisandre,GoT,Oathbreaker,8 May 2016
Missandei,GoT,Oathbreaker,8 May 2016
Arya Stark,GoT,Oathbreaker,8 May 2016
Lord Varys,GoT,Oathbreaker,8 May 2016
Tormund Giantsbane,GoT,Oathbreaker,8 May 2016
Bran Stark,GoT,Oathbreaker,8 May 2016
Samwell Tarly,GoT,Oathbreaker,8 May 2016
Ramsay Bolton,GoT,Oathbreaker,8 May 2016
High Sparrow,GoT,Oathbreaker,8 May 2016
Gilly,GoT,Oathbreaker,8 May 2016
Three-Eyed Raven,GoT,Oathbreaker,8 May 2016
Olenna Tyrell,GoT,Oathbreaker,8 May 2016
Alliser Thorne,GoT,Oathbreaker,8 May 2016
Qyburn,GoT,Oathbreaker,8 May 2016
Grand Maester Pycelle,GoT,Oathbreaker,8 May 2016
Osha,GoT,Oathbreaker,8 May 2016
Eddison Tollett,GoT,Oathbreaker,8 May 2016
The Waif,GoT,Oathbreaker,8 May 2016
Mace Tyrell,GoT,Oathbreaker,8 May 2016
Kevan Lannister,GoT,Oathbreaker,8 May 2016
Gregor Clegane,GoT,Oathbreaker,8 May 2016
Olly,GoT,Oathbreaker,8 May 2016
Smalljon Umber,GoT,Oathbreaker,8 May 2016
Rickon Stark,GoT,Oathbreaker,8 May 2016
Qhono,GoT,Oathbreaker,8 May 2016
Young Ned,GoT,Oathbreaker,8 May 2016
Arthur Dayne,GoT,Oathbreaker,8 May 2016
Gerold Hightower,GoT,Oathbreaker,8 May 2016
Bowen Marsh,GoT,Oathbreaker,8 May 2016
Howland Reed,GoT,Oathbreaker,8 May 2016
Tommen Baratheon,GoT,Oathbreaker,8 May 2016
Jaqen H'ghar,GoT,Oathbreaker,8 May 2016
Grey Worm,GoT,Oathbreaker,8 May 2016
Leaf,GoT,Oathbreaker,8 May 2016
Harald Karstark,GoT,Oathbreaker,8 May 2016
Vala,GoT,Oathbreaker,8 May 2016
Khal Moro,GoT,Oathbreaker,8 May 2016
Ornela,GoT,Oathbreaker,8 May 2016
Othell Yarwyck,GoT,Oathbreaker,8 May 2016
Frances,GoT,Oathbreaker,8 May 2016
Arthur,GoT,Oathbreaker,8 May 2016
